,Comment,Likes,Time,UserLink,user
44,Ikalannya jadi menarik sih.. Salut tim kreatif gojeknya.. Boriel juga kocak disini,48,2 months ago (edited),/channel/UCQMVDhrc9JSLMtGZYE0HYSg,Zalarifin Zal
45,"Salah satu iklan terbaik, buatan anak bangsa. Keren! Atau kerna Ariel jadi keren. Hahaa",80,2 months ago,/channel/UCXvlXV4yfLUC8Sr2sYGBzFw,CND Makeup Artist
46,Another iklan yg ga gua skip selain iklan head and shoulders nya Joe Taslim 😂😂,58,2 months ago,/channel/UCWsshIkKpdp-yVYDIEacr2Q,Reza Tansri
47,Kocak abissss...  Gak nyangka bang Boriel bisa acting lucu kyk gitu 🤣😂,120,2 months ago,/channel/UCVaf1tNep9-0GpFk_ndfntA,Toni Rahmawan
48,"Iklannya keren karena ada Aa Boriel ,,Keren bgt acting dan kata2nya 😄 sukses trus Aa😊👍 ,",34,2 months ago,/channel/UC23Beewc173DfyHf13Z9oFQ,Jumi Ta
49,Denger suara ariel bkin hati adeeem,48,2 months ago,/channel/UCTGtFnP5AwceCgMNtxzKsAA,Sho Pia
50,Diulang2 terus nontonnyaaaaa ❤,54,2 months ago,/channel/UCQaUAvh8ddKBs_-UEvpjlNg,siti nuryanah
51,Bisa keren gitu yah iklannya..bikin senyum2 sendri hahahaha,48,2 months ago,/channel/UCjesfano3xhUL_KcGtFk9pQ,Herdiansyah Soleh
52,Gokil Kang Ariel x GoSend,85,2 months ago,/channel/UCrqbU67CbvUiEI0AggRgRwg,Prince Dave
53,story telling nya mantep dahh! S3 marketing,26,2 months ago,/channel/UCD6dvMvq0cKB2stJUFH8icg,Ilham Faniansyah
54,Satu kata buat Ariel.. KEREN,66,2 months ago,/channel/UCG0BMl5eMRQYYLwulm0g7yQ,Dea and Family
55,Auto Trending satu...ariel luar biasa,26,2 months ago,/channel/UCV75Mm0V4AWCtRca5XiDzRw,Wonx Bengen
56,"Narasi nya keren, akting nya real banged...dan Permisiii Paketttt...kata2 merdu di masa pandemi...hahahaha...mirip Ariel ya...gak ah Jauhhh... 🤣🤣🤣🤣 Keren abizzz",64,2 months ago,/channel/UC5U06bS1tIqifaPPHPIFeGQ,Dewi Melati
57,"Kerennnnnnn banget,dan yg lebih lucu nya lagi sangkin menunggu nya Ariel nyuci kreta tetangga . Aku baru Ngah😂😂",24,2 months ago (edited),/channel/UCr5xTsHFyIuT6JUduoqnPnw,bagus sihombar
58,Gila keren banget ka Ariel 🔥🔥,28,2 months ago,/channel/UC1gi1G7s0ffIVBHkot3BzTg,Sri astuti Astuti
59,"Ngomong"" soal gaji, apakah gergaji adalah gaji yang lebih ger? Keren bang boril bisa receh juga ternyata wkwkwk",98,2 months ago,/channel/UCNKwb9SuxuY5sKSeG4WJj9w,It's TIME!
60,😆😆😆 mewakili saya ketika belanja online anjir mirip kisahnya kek gua,33,2 months ago,/channel/UC_qYfxGTQDhwc6pgOtzHU1A,ical Karuniaabdi
61,Malaysia adir Ariel memang keren banget mantap pandai buat lawak,22,2 months ago,/channel/UCP0GTDT6qsBeUs_phsSyp3g,Suryani Ahmad
62,"sebenernya masih bingung kalo pake gosend untuk ambil barang di lokasi lain untuk di anter ke lokasi kita sekarang, jadi aku pake goride untuk gitu tapi ga semua driver mau kalo kaya gitu pake goride.",20,2 months ago,/channel/UCnVLu1RsB4_OUGCWHDhAZsw,Prince Ali
63,"Baru kali ini aku liat iklan di pencet😂 biasanya di skip, soalnya mah yg bawain ariel NOAH 😂",54,2 months ago (edited),/channel/UCjXNkzpwsB3aegd2mU_9DmA,Hagel Kamil
64,"BARU KALI INI IKLAN GOJEK YANG SANGAT BAGUS DAN MEMUKAU.

BORIL KEREN DAH.. tema vidio iklan'nya SEDIH nya ada LUCU nya ada🤣
SEMOGA GOJEK MAKIN SUKSES DAN JAYA DI INDONESIA🇮🇩",10,2 months ago,/channel/UC1O-XYs-q0y2chI4C_RLcZw,Dalbert Brandy
65,"Paket datang ternyata Salkir. Lalu ""dan terjadi lagi....""

Plot twist 😂😂 sabar ya bor 🤣",48,2 months ago,/channel/UCLmRSBEcVJWZ3loD_SO-MtQ,Yussidah AT
66,Kreatif.. Komedinya dapet.. Tp arielnya tetep ganteng,23,2 months ago,/channel/UCBkTXsfCQ1PQVFmSMS4wboA,Arian Zan
67,Keren buanget euy mang boril udh kasep bisa puitis+ngalawak😂😂ini mah hrs aing share biar trending bahkan kalau aing nggk share aja mungkin trending buanget ini,19,2 months ago,/channel/UCtCyriiI6zJ13rY-rC_4vLg,ARD GAMING
68,Sejarah hidup gua nonton iklan terniat dan diulang ulang 😁🤭,119,2 months ago,/channel/UCljOjvP69D2AYO1gTJC95Dw,Renie Martini
69,Acting ariel keren juga,37,2 months ago,/channel/UC6orSdpGDHywztAnBJ2BJmw,Nur Janah
70,Bikin webseries keren nih kayanya...👍,25,2 months ago,/channel/UCAQ5D_Obs_yVoii9nbTnOTw,Oktavianus Rully Abriyanto
71,"luar biasa, gojek kian melambung dengan ad nya ariel noah",65,2 months ago,/channel/UCdy3u4G3HBmL4cti7YfhJPQ,NARA CHANEL
72,Kebnyakan bergaul sama Bang Haji Andre ini jadi lucu wkwkwk,37,2 months ago,/channel/UCRuJOx1D-qF6A-DV3hDwidw,Youngky Bagushermawan
73,konsep yg matang.. salut buat gojek,14,2 months ago,/channel/UCUjFMHnl9N1wAgtfQXCRaWQ,Sayfull Achmad
74,Intonasi puisinya anjim banget. Ditambah suaranya bikin merinding,96,2 months ago (edited),/channel/UC36AQ8cvvZ1uqHLMvPKIu4g,Ahmad Fahmi
75,"Njiiirr keren pisUn euyy,, mantap aktingnya si akang👍👌👍👌",25,2 months ago,/channel/UCIqhXrV2LiXw40NanzwPb7A,Rivaih Achmad
76,"mantap👍🏻 Gojek selalu bagus Iklannya 🔥. ohiya durasi iklannya kurang lama,  bikin sejam dong kuota Kemdikbud saya masih banyak nih soalnya",19,2 months ago (edited),/channel/UCg1ADb83yGG3TuHKKeFAFIw,Awhizkid
77,Ngelawak dengan cara keren👏😂,38,2 months ago,/channel/UCOiEARJeyaDSO9abIk4CeKA,Adam Firdaus
78,"Ala"" anak indie dengan komedi 🤣🤣🤣🤣",65,2 months ago,/channel/UC1n8XGF8Yj--xfo2jGiftQg,Almecca Ramadhani
79,"Perkara nunggu paket ampe bersihin motor tetangga, hahaha. Boriel gokiill,",16,2 months ago,/channel/UCrEyH1V_gt2q4softQPW5Sw,EL' Ramli
80,Lucu boril...trus kata2 nya bkin meleleh,52,2 months ago,/channel/UCTGtFnP5AwceCgMNtxzKsAA,Sho Pia
81,"Iklan terbaik ,video klip terbaik bintang di surga",23,2 months ago,/channel/UCFNHiKEbMdk3Gn9Zh5i-HiQ,nontondong tv
82,iklan yang saya tonton sampai habis terus di ulang lagi. magnet!!,64,2 months ago,/channel/UCmMSCjI6Dx5Q9GkUjcmrjzg,Visual Flow Presets
83,"Secara tidak sadar itu yg ngomong ""mas , lagi nunggu paket ya"", Kang Lukman (kurir) wkwkwk",58,2 months ago (edited),/channel/UCZczSbNOzWO95bXVds8XmAw,OneSixTwo Gaming
84,"Seandainya kita semua cinta buatan Indonesia, InsyaAllah kita membantu gojek dan mitra maju sejahtera,amin",6,1 month ago,/channel/UCam0cTu0X_jh9tX56CKQUfw,Ayub Budianto
85,"Gergaji adalah gaji yang lebih ger, wadaaww 😂😂😂😂😂😂",39,2 months ago,/channel/UCJtDlVRCCtxVlC30GLb-EfQ,Cesar ANW
86,Luarrrrrrrrrrrrr biasa😂😂😂😂,28,2 months ago,/channel/UCizB7JqCvXiVs7vAtmDh1Pg,Amar Nurdin
87,"Hadiah ulang tahun terlucu 😂
Happy birthday aa🎉",13,2 months ago,/channel/UCBNQbioupDQQO0sYMbaJelw,Herlina Sitompul
88,Siapapun yg colab sama ariel Noah auto saya like Komen dan subscribe. Btw konten nya totalitas banget sumpah!,10,2 months ago,/channel/UCTl-FppVdXnTsYkpudgiBCg,Riki Mariadi
89,"""iri ga? Iri lah masa ngak"" ngakak njirr ,, 😂",53,2 months ago,/channel/UCFMpIhwpxhpVHbg-GH1Otqw,UZIB ART
